,GEBRUIK,TT,UF,BT,RT,CBS English,NT,Historische notitie,Scope notitie
's Gravenhage,Den Haag,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
's Hertogenbosch,Den Bosch,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
(on)veiligheidsbeleving,veiligheidsbeleving,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
100-jarigen,hoogbejaarden,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
100-plussers,999,bevolking,"langlevendheid, honderdplussers, eeuwelingen",hoogbejaarden,999.0,people aged over 100,999.0,999.0,999.0
2 onder 1  kap,999,bouwen en wonen,"twee onder een kap, 2-onder-1-kap",woningtype,999.0,semi-detached,999.0,999.0,999.0
2-onder-1-kap,2 onder 1  kap,999,999,999,999.0,999,999.0,999.0,999.0
3-procentnorm,drie procentsnorm,999,999,999,999.0,999,999.0,999.0,999.0
50-plussers,999,bevolking,vijftigplussers,leeftijdsgroepen,999.0,people aged over 50,999.0,999.0,999.0
65-plussers,999,bevolking,999,ouderen,999.0,sixty-five plus,999.0,999.0,999.0
75-plussers,hoogbejaarden,999,999,999,999.0,999,999.0,999.0,999.0
"aan-, af- en doorvoer",999,verkeer en vervoer,999,goederenstromen,999.0,"inbound, outbound, transit ",999.0,999.0,999.0
aanbestedingen,999,CBS corporate termen,"rfp, request for proposal",bedrijfsvoering,999.0,public procurements,999.0,999.0,999.0
aanbodtijd,999,bouwen en wonen,999,koopwoningmarkt,999.0,sale period,999.0,999.0,999.0
aandachtswijken,999,bouwen en wonen,"Vogelaarwijken, probleemwijken, krachtwijken, achterstandswijken",wijken,999.0,disadvantaged neighbourhood,999.0,999.0,999.0
aandeelhouders,999,bedrijven,999,bedrijfsfinanciën,999.0,shareholders,999.0,999.0,999.0
aandelen,999,macro-economie,"uitgave van aandelen, aandelenuitgifte, aandelenemissie",effecten,999.0,shares,999.0,999.0,999.0
aandelenemissie,aandelen,999,999,999,999.0,999,999.0,999.0,999.0
aandelenuitgifte,aandelen,999,999,999,999.0,999,999.0,999.0,999.0
aandoeningen,ziekten,999,999,999,999.0,999,999.0,999.0,999.0
aangifte,999,veiligheid en recht,999,gerechtelijke procedure,999.0,report ,999.0,999.0,999.0
aanhangers,999,verkeer en vervoer,999,niet-gemotoriseerd,999.0,trailers,999.0,999.0,999.0
aanhangige zaak,999,veiligheid en recht,999,gerechtelijke procedure,999.0,case pending,999.0,999.0,999.0
aanhouding,999,veiligheid en recht,999,gerechtelijke procedure,999.0,arrest,999.0,999.0,999.0
aanklager,999,veiligheid en recht,999,procespartij,999.0,prosecutor,999.0,999.0,999.0
aankoopkosten,999,bouwen en wonen,999,koopwoningmarkt,999.0,acquisition costs,"taxatiekosten, overdrachtsbelasting, notariskosten, nationale hypotheekgarantie, makelaarskosten, hypotheekprovisie",999.0,999.0
aanleunwoningen,999,bouwen en wonen,999,zorgwoningen,999.0,semi-independent senior housing,999,999.0,999.0
aanranding,feitelijke aanranding der eerbaarheid,999,999,999,999.0,999,999,999.0,999.0
aanvullende pensioenen,999,arbeid en sociale zekerheid,999,ouderdomspensioenen,999.0,supplementary pensions,999,999.0,999.0
aanwezige bevolking,feitelijke bevolking,999,999,999,999.0,999,999,999.0,999.0
aardewerkindustrie,999,industrie en energie,999,"glas, aardewerk, cement-, kalk- en gipsproducten",999.0,ceramics industry,999,999.0,999.0
aardgas,999,industrie en energie,gas,fossiele energiedragers,"gasverbruik, gasproductie",natural gas,"staalovengas, aardgascondensaat, aardgas plus ander geproduceerd gas",999.0,999.0
aardgas plus ander geproduceerd gas,999,industrie en energie,999,aardgas,999,natural and otherwise produced gas,999,999.0,999.0
aardgas- en elektriciteitsprijzen,999,prijzen,999,energieprijzen,999,natural gas and electricity rates,"elektriciteitsprijzen, aardgasprijzen",999.0,999.0
aardgasbaten,999,overheid en politiek,999,rijksinkomsten,999,natural gas revenues,999,999.0,999.0
aardgascentrales,elektriciteitsproductie,999,999,999,999,999,999,999.0,999.0
aardgascondensaat,999,industrie en energie,999,aardgas,999,natural gas condensate,999,999.0,999.0
aardgasprijzen,999,prijzen,999,aardgas- en elektriciteitsprijzen,999,natural gas rates,999,999.0,999.0
aardgasverbruik,gasverbruik,999,999,999,999,999,999,999.0,999.0
aardolie,999,industrie en energie,999,ruwe aardolie,999,petroleum,smeermiddelen,999.0,999.0
aardwarmte,bodemenergie,999,999,999,999,999,999,999.0,999.0
abonnement,abonnementen,999,999,999,999,999,999,999.0,999.0
abonnementen,999,CBS corporate termen,"nieuwsbrieven, nieuwsbief, abonnement",contact,CBS corporate nieuws,subscriptions,999,999.0,999.0
abortus,999,zorg en gezondheid,999,geboorteregeling,ongeplande zwangerschappen,abortion,999,999.0,999.0
ABR,Algemeen Bedrijven Register,999,999,999,999,999,999,999.0,999.0
ABW,Participatiewet,999,999,999,999,999,999,999.0,999.0
academisch ziekenhuis,academische ziekenhuizen,999,999,999,999,999,999,999.0,999.0
academische ziekenhuizen,999,zorg en gezondheid,"universitaire medische centra, academisch ziekenhuis",ziekenhuizen,999,academic hospitals ,999,999.0,999.0
accijns,accijnzen,999,999,999,999,999,999,999.0,999.0
accijnzen,999,overheid en politiek,"cijns, accijns",ontvangen belastingen,consumptiegebonden belasting,excise duties,999,Vaststelling van de prijs van het brood in de 19e eeuw of eerder.,999.0
accommodatiegebruik,999,recreatie en cultuur,999,toerisme,999,use of accommodation ,"verblijfsduur, overnachtingen",999,999.0
Accord européen relatif au transport international de marchandises Dangereuses par Route,ADR,999,999,999,999,999,999,999,999.0
achtergronden,CBS corporate nieuws,999,999,999,999,999,999,999,999.0
achterstandsleerling,achterstandsleerlingen,999,999,999,999,999,999,999,999.0
achterstandsleerlingen,999,onderwijs,achterstandsleerling,leerlingen,999,disadvantaged learners,999,999,999.0
achterstandswijken,aandachtswijken,999,999,999,999,999,999,999,999.0
activiteitenbeperking,999,zorg en gezondheid,999,beperkingen en klachten,999,activity-impairing ,999,999,999.0
additieven,999,industrie en energie,999,olie,999,additives,"bio-additieven voor benzine, additieven voor smeermiddelen",999,999.0
additieven voor smeermiddelen,999,industrie en energie,999,additieven,999,additives for lubricants,999,999,999.0
adhd,999,zorg en gezondheid,999,ziekten,999,ADHD,999,999,999.0
administratief recht,bestuursrecht,999,999,999,999,999,999,999,999.0
administratieve lasten,999,bedrijven,administratieve lastendruk,ondernemingsklimaat,berichtgevers,administrative burden,999,999,999.0
administratieve lastendruk,administratieve lasten,999,999,999,999,999,999,999,999.0
adolescenten,tieners,999,999,999,999,999,999,999,999.0
adoptie,adopties,999,999,999,999,999,999,999,999.0
adopties,999,veiligheid en recht,adoptie,familierecht,999,adoptions,"stiefouderadopties, partneradopties, Haags adoptieverdrag",999,999.0
adoptieverlof,999,arbeid en sociale zekerheid,999,verlofregelingen,999,adoption leave,999,999,999.0
ADR,999,verkeer en vervoer,"VNnr, UN-nummers, Accord européen relatif au transport international de marchandises Dangereuses par Route",gevaarlijke stoffen,999,ADR,999,999,999.0
adres,999,CBS corporate termen,adresgegevens,contact,999,address,"postadres, expeditie, bezoekadres",999,999.0
adresgegevens,adres,999,999,999,999,999,999,999,999.0
ADV,arbeidsduurverkorting,999,999,999,999,999,999,999,999.0
advocaten,advocatuur,999,999,999,999,999,999,999,999.0
advocatuur,999,diensten,advocaten,rechtskundige dienstverlening,999,legal profession,999,999,999.0
aex,999,diensten,999,effectenbeurzen,999,AEX,999,999,999.0
afbraak,999,bouwen en wonen,"sloopwoningen, sloop",mutaties,999,demolition,999,999,999.0
afdeling bestuursrechtspraak raad van state,999,veiligheid en recht,afdeling bestuursrechtspraak van de Raad van State,bestuursrecht,999,Administrative Jurisdiction Division of the Council of State,999,999,999.0
afdeling bestuursrechtspraak van de Raad van State,afdeling bestuursrechtspraak raad van state,999,999,999,999,999,999,999,999.0
afdeling verkoop,999,CBS corporate termen,"uitgeverij, publicatiebureau",CBS corporate termen,persagenda,sales department,publicaties,999,CBS dienst
afdoening door de rechter,999,veiligheid en recht,999,gerechtelijke procedure,999,settlement by judge,einduitspraak,999,999
afdoening door het Openbaar Ministerie,999,veiligheid en recht,OM-afdoening,gerechtelijke procedure,999,settlement by public prosecutor ,"voeging ter berechting, voeging ad informandum, transactie, sepot, overdracht",999,999
afgeleide consumentenprijsindex,999,prijzen,"afgeleide prijsindex, afgeleide cpi",consumentenprijsindex,999,derived consumer price index,999,999,999
afgeleide cpi,afgeleide consumentenprijsindex,999,999,999,999,999,999,999,999
afgeleide prijsindex,afgeleide consumentenprijsindex,999,999,999,999,999,999,999,999
afgestudeerden,999,onderwijs,"schoolverlaters, geslaagden, gediplomeerden",uitstroom,999,graduates,999,999,999
Afghanistan,999,geografie,999,Azië,999,Afghanistan,999,999,999
afhaalrestaurants,afhaalwinkels,999,999,999,999,999,999,999,999
afhaalwinkels,999,diensten,"traiteurs, afhaalrestaurants",fastfood restaurants,999,takeaways,999,999,999
afhankelijke beroepsbevolking,werknemers,999,999,999,999,999,999,999,999
afkomst,herkomstgroepering,999,999,999,999,999,999,999,999
aflopende betalingen,afschrijvingen,999,999,999,999,999,999,999,999
afpersing,999,veiligheid en recht,999,geweldsmisdrijf,999,blackmail,999,999,999
